LEXEME,REPLACEMENT,COMMENT
unọ̄́ūne,unọ:une,ill-formed diacritics
St. Antōni & Kristo !!,,proper names
Mecca,,proper name
ā dṣʼ ā́nyimam,ādṣ ʼā́nyimam,extra space
gum .dṣáwī mọ,gum dṣáwī mọ,stray dot (ocr problem?)
páikundḗyu· pl. pái-koei dḗei, páikundḗyu· ~ pl. pái-koei dḗei,missing separator
ū́vu pl. ā́vu,ū́vu ~ pl. ā́vu,missing separator
ḗdṣi· pl. ā́dṣi,ḗdṣi· ~ pl. ā́dṣi, missing separator
mbọ̄́dọko pl. zimbọ̄́dọko,mbọ̄́dọko ~ pl. zimbọ̄́dọko, missing separator
ọzizā́·ra· pl. ọzizā́na,ọzizā́·ra· ~ pl. ọzizā́na,missing separator
tétọu· pl. bitétọu·,tétọu· ~ pl. bitétọu·,missing separator
ntí pl. mínti,ntí ~ pl. mínti,missing separator
