Grapheme	IPA
-$	NULL
^	NULL
$	NULL
·	NULL
́	NULL
̄	NULL
·$	NULL
a	a
à	à/a
á	á/a
ā	aː
ạ	a˞
ạ̄́	a˞ː
f	f
v	v
fʼ	fʼ
dṣ	ɖʐ
tṣ	ʈʂ
T	T/θ
e	e
è	è/e
é	é/e
ē	eː
ḗ	ḗ/eː
ẹ	e˞
ẹ̀	e˞
ẹ̄	e˞ː
è̄́	eː
ẹ̄́	e˞ː
h	h
ʼ	ʔ
ʿ	ʕ
ḥ	ɦ
‘	ʔ
i	i
ì	ì/i
í	í/i
ī	iː
ị	i˞
y	j
ý	j
yʼ	j
·y	j
g	g
k	k
ḱ	kʲ
ḳ	ḳ/k
gb	gb
gʼ	g’
kʼ	kʼ
́k	ɠ̥
^nk	ⁿk
gbʼ	gb’
l	l
ĺ	l̩
lʼ	l’
ʼl	l
’l	l
m	m
ḿ	m̩
mʼ	m’
n	n
ń	ŋ
ṅ	ŋ
n$	n
n:	nː
ng	ŋ
n·	n
nʼ	n’
ń·	ŋ
ṇ·	n̩
’n	n
́n·	ŋ
b	b
p	p
ḅ	ɓ
bʼ	b’
pʼ	pʼ
p̄	pː
^mb	ⁿb
^mp	ⁿp
r	r
ŕ	r̩
ṛ	ɽ
rʼ	r’
s	s
z	z
ś	ʃ
ṣ	ʂ
ẓ	ʐ
sʼ	sʼ
ʼz	z
d	d
j	dʒ
t	t
ḍ	ɖ
ṭ	ʈ
dʼ	d’
tʼ	tʼ
tṣʼ	ʈʂ’
o	o
ò	ò/o
ó	ó/o
ô	ô/o
ō	oː
ṓ	ṓ/oː
ọ	o˞
ọ:	o˞ː
ọ̄	o˞ː
o˞ː	o˞ː
ọ̄́	o˞ː
w	w
wʼ	w’
w̄	w
u	u
ù	ù/u
ú	ú/u
ū	uː
ǘ	ǘ/y
ụ	u˞
-	+
ạ̄́i	a˞ː i
ā́̄́n·	aː ŋ
ʼā	ʔ aː
ʼg	ʔ g
ʼō	ʔ oː
ʼw	ʔ w
īʼ	iː ʔ
ī̄́h	iː h
yọ	j o˞ː
ū́ ʼ	uː ʔ
-h	+ h
iʼy	i ʔ j
gḕn	g eː n
lū́ ʼdṣi	l uː dʒ i
mā́̄la	m aː l a
nạ̄ko	n a˞ː k o
ntẹ́t’	n t e˞ tʼ
